index_x,statefips,countyfips,avghouseholdsize,geography,index_y,avganncount,avgdeathsperyear,target_deathrate,incidencerate,medincome,popest2015,povertypercent,studypercap,binnedinc,medianage,medianagemale,medianagefemale,percentmarried,pctnohs18_24,pcths18_24,pctsomecol18_24,pctbachdeg18_24,pcths25_over,pctbachdeg25_over,pctemployed16_over,pctunemployed16_over,pctprivatecoverage,pctprivatecoveragealone,pctempprivcoverage,pctpubliccoverage,pctpubliccoveragealone,pctwhite,pctblack,pctasian,pctotherrace,pctmarriedhouseholds,birthrate,state
171,4,1,3.67,"Apache County, Arizona",2733,186.0,95,142.1,269.9,32366,71474,33.1,307.8042365,"[22640, 34218.1]",33.4,32.3,34.4,34.8,25.8,39.1,34.0,1.1,33.4,6.9,34.5,18.2,31.5,24.7,22.4,50.8,38.8,23.2405302,0.6128334529999999,0.427042316,1.056513782,40.00103778,6.518302323,Arizona
172,4,3,2.42,"Cochise County, Arizona",2734,583.0,267,154.6,350.1,45025,126427,18.7,0.0,"(42724.4, 45201]",40.0,38.2,41.8,50.4,17.9,37.9,,4.4,23.4,14.5,42.3,8.7,64.7,37.2,27.0,43.5,20.5,80.02036299,3.874366549,1.679174991,7.288251946,49.64669739,5.457360828,Arizona
173,4,5,2.7,"Coconino County, Arizona",2735,399.0,130,119.8,348.4,48653,139097,21.3,50.32459363,"(48021.6, 51046.4]",30.8,30.7,31.0,41.2,9.7,26.3,,7.1,21.3,19.5,58.9,8.8,61.1,47.2,38.6,29.8,17.8,62.81592673,1.563265814,1.658363874,3.577150131,44.86582724,5.030073987,Arizona
174,4,7,2.5,"Gila County, Arizona",2736,290.0,147,163.3,339.2,37677,53159,24.4,0.0,"(37413.8, 40362.7]",48.6,47.4,50.1,50.9,25.0,38.2,,2.4,30.0,9.7,41.4,12.8,52.0,31.3,26.9,52.7,29.4,79.1441738,0.722279695,0.6000188089999999,1.958055111,48.17064422,6.179351922,Arizona
175,4,9,3.02,"Graham County, Arizona",2737,137.0,60,174.0,395.7,46046,37666,20.0,0.0,"(45201, 48021.6]",32.0,32.5,31.7,45.7,20.8,30.0,47.6,1.6,32.9,8.1,42.4,14.1,55.7,42.9,38.7,41.9,28.4,77.04440345,2.090517818,0.644264442,3.980538402,52.38616662,9.188988095,Arizona
176,4,11,2.78,"Greenlee County, Arizona",2739,32.0,14,161.2,364.5,59416,9529,10.3,0.0,"(54545.6, 61494.5]",33.0,32.5,34.0,49.6,26.6,30.8,41.2,1.4,37.5,8.2,49.7,10.0,69.6,54.5,52.0,29.5,14.7,89.36052311,1.540507592,0.443311537,3.479995567,48.67971420000001,7.95730228,Arizona
177,4,12,2.14,"La Paz County, Arizona",2740,129.0,54,126.1,332.0,32533,20152,22.8,0.0,"[22640, 34218.1]",54.8,54.8,54.9,54.1,26.3,40.4,33.3,0.0,36.6,6.4,37.0,11.2,50.3,23.7,20.9,62.2,31.3,73.92672732,0.196705188,0.82616179,8.984509466,46.56700481,4.686489981,Arizona
178,4,13,2.75,"Maricopa County, Arizona",2741,15470.0,5780,146.6,401.4,53929,4167947,17.1,177.54544380000002,"(51046.4, 54545.6]",35.6,34.5,36.8,47.1,16.7,30.5,,8.3,23.0,19.5,58.4,7.7,63.1,51.4,44.1,31.4,19.8,79.58076654,5.2210436510000005,3.78901398,6.188306389,47.03650145,5.392191187000001,Arizona
179,4,15,2.43,"Mohave County, Arizona",2742,1424.0,672,196.6,444.9,37704,204737,20.8,161.182395,"(37413.8, 40362.7]",49.2,48.3,50.0,49.5,25.7,40.3,,2.8,35.7,7.6,39.5,13.2,50.5,30.1,25.0,52.9,29.2,89.04564275,1.127054219,1.227859679,2.935159961,48.43873713,4.575797025,Arizona
180,4,17,3.08,"Navajo County, Arizona",2743,370.0,167,146.8,325.3,35457,108277,28.5,0.0,"(34218.1, 37413.8]",35.7,34.5,37.0,45.0,30.7,36.4,,0.6,29.5,9.0,39.7,19.8,40.1,28.3,24.1,52.7,37.8,48.40046073,0.669725793,0.585197295,3.4127220030000003,46.90732222,7.96636424,Arizona
181,4,19,2.49,"Pima County, Arizona",2744,4415.0,1916,155.5,379.1,45871,1010025,18.7,202.9652731,"(45201, 48021.6]",38.0,36.5,39.7,44.9,15.3,27.6,,7.6,22.8,17.7,52.6,10.0,61.0,,38.9,38.5,22.9,77.88384406,3.617592538,2.753828852,8.566632984,43.51071966,5.501557741,Arizona
182,4,21,2.87,"Pinal County, Arizona",2745,1342.0,558,133.5,330.9,49876,406584,17.6,19.67613089,"(48021.6, 51046.4]",37.6,36.9,38.5,49.9,28.3,36.3,,2.2,30.1,11.7,44.3,10.6,61.6,,40.7,39.5,22.8,79.37255626,4.606282647,1.718440524,5.529386411,54.21202361,5.719536436,Arizona
183,4,23,3.04,"Santa Cruz County, Arizona",2746,149.0,68,132.8,296.2,37465,46461,23.6,0.0,"(37413.8, 40362.7]",36.5,33.5,38.9,53.1,25.2,27.5,41.4,5.9,25.3,14.6,49.1,11.3,49.5,32.7,28.0,44.6,27.9,79.75484885,0.350519406,0.989951777,17.06498417,53.67536949,6.643259725,Arizona
184,4,25,2.3,"Yavapai County, Arizona",2747,1373.0,595,156.6,389.4,44145,222255,15.6,112.4834087,"(42724.4, 45201]",51.3,49.9,52.7,53.5,20.9,29.5,,4.6,25.6,16.1,44.6,10.0,59.7,37.4,29.1,48.0,23.3,91.62438193,0.594918424,0.879182948,2.712550232,50.73231503,4.975284763,Arizona
185,4,27,2.77,"Yuma County, Arizona",2748,752.0,291,126.8,343.0,39700,204275,22.6,44.05825479999999,"(37413.8, 40362.7]",33.8,32.3,35.8,55.7,20.3,32.0,,2.8,25.0,9.4,46.1,13.1,51.6,37.7,31.3,41.5,26.3,77.14139329,2.11836226,1.297620045,15.68327036,57.69758915,6.284513402999999,Arizona
186,6,1,2.78,"Alameda County, California",584,6282.0,2236,147.7,413.4,76996,1638215,12.5,262.4808099,"(61494.5, 125635]",37.1,36.2,38.1,47.8,10.9,24.5,,15.2,18.5,25.0,60.8,8.3,70.7,60.4,52.8,27.9,16.6,44.70445424,11.6646677,27.70092802,8.286461117,48.34346322,5.014712267,California
188,6,5,2.36,"Amador County, California",585,279.0,105,166.6,469.8,54610,37001,12.9,0.0,"(54545.6, 61494.5]",50.0,47.9,52.6,52.2,21.5,38.2,,2.6,27.0,14.7,39.3,14.0,69.7,,39.7,44.7,19.4,86.51439384,2.311123125,1.454250574,4.119475605,55.32495512,3.698558778,California
189,6,7,2.55,"Butte County, California",586,1296.0,500,178.7,489.2,42302,225411,21.9,70.98145166,"(40362.7, 42724.4]",36.8,35.2,39.1,42.4,8.5,25.0,,7.9,22.6,17.5,48.9,12.1,58.5,42.9,35.9,42.3,24.0,83.30547618,1.432846282,4.309322262,3.278607502,42.75182259,5.545831589,California
190,6,9,2.45,"Calaveras County, California",587,298.0,116,157.4,413.9,53321,44828,13.7,0.0,"(51046.4, 54545.6]",50.7,50.0,51.4,55.5,15.0,35.3,,6.3,27.6,14.4,43.0,12.1,66.6,44.3,36.8,43.4,19.2,92.05441508,0.5830187410000001,0.897982889,1.188375366,54.85049834,2.851375221,California
191,6,11,3.04,"Colusa County, California",588,84.0,32,153.3,400.2,48006,21482,14.3,0.0,"(45201, 48021.6]",34.0,33.1,35.0,55.1,14.2,41.9,,2.7,21.7,11.4,55.3,10.4,48.9,,29.6,42.3,30.9,85.00654328,0.7057393909999999,1.958309964,7.61357263,57.56531726,6.602564103,California
192,6,13,2.82,"Contra Costa County, California",590,5182.0,1744,151.5,456.3,80338,1126745,10.5,332.81709700000005,"(61494.5, 125635]",38.8,37.5,40.1,51.5,12.7,29.5,,10.6,18.7,25.2,58.9,8.8,73.2,60.0,52.5,28.4,14.9,60.52598926,8.88065339,15.25589653,8.13681268,53.83079507,5.114550334,California
193,6,15,2.55,"Del Norte County, California",591,142.0,60,185.4,431.6,41419,27254,22.4,0.0,"(40362.7, 42724.4]",38.8,37.2,44.5,40.8,21.9,40.3,,2.9,29.1,9.4,38.3,11.5,50.4,35.0,30.8,51.9,31.8,76.46466099999999,2.886137901,2.159205412,4.167266446,42.03821656,9.278553175,California
194,6,17,2.69,"El Dorado County, California",592,1038.0,342,151.5,458.6,70235,184452,11.4,92.16489927,"(61494.5, 125635]",44.9,43.8,45.7,55.8,11.3,39.1,,6.7,21.8,20.8,,11.1,74.8,57.6,48.7,31.5,14.0,86.7100877,0.980817494,3.953474324,3.742593071,58.91095012,4.76817356,California
195,6,19,3.17,"Fresno County, California",593,3367.0,1260,152.8,412.6,43338,974861,27.5,82.06298129,"(42724.4, 45201]",31.4,30.5,32.3,44.2,17.4,27.7,,4.8,22.8,13.0,52.8,13.2,49.4,39.2,34.2,43.1,30.8,59.623893,5.069145617,9.77257358,20.2889159,46.81324986,6.004383506,California
196,6,21,2.92,"Glenn County, California",594,135.0,51,165.2,443.4,43755,28017,17.1,0.0,"(42724.4, 45201]",37.2,35.6,38.5,51.4,23.6,27.2,,5.5,29.6,10.7,49.2,12.6,52.7,40.1,34.1,41.2,26.3,85.25812551,0.966855757,2.479574726,6.564629491,50.81604717,6.12741125,California
197,6,23,2.47,"Humboldt County, California",595,696.0,273,177.4,459.5,40581,135727,21.0,7.367730813,"(40362.7, 42724.4]",37.4,36.6,38.3,41.4,9.3,25.7,58.5,6.5,25.2,18.5,52.3,10.5,55.1,,33.3,41.4,24.2,81.32840618,1.27079106,2.6385947240000003,3.561325296,40.60826608,5.240578994,California
198,6,25,3.61,"Imperial County, California",596,606.0,207,130.3,387.9,38737,180191,23.6,0.0,"(37413.8, 40362.7]",32.2,31.0,33.6,44.2,23.6,27.5,,2.7,21.9,9.9,43.9,17.4,45.1,37.9,34.4,43.4,29.9,70.87584032,2.902259183,1.550452847,18.56503148,51.56720916,7.022539697999999,California
199,6,27,2.23,"Inyo County, California",597,111.0,40,138.1,408.4,49267,18260,14.0,0.0,"(48021.6, 51046.4]",45.7,44.5,47.7,46.8,9.7,42.5,,2.1,30.9,14.7,55.8,6.8,65.9,47.4,43.0,39.8,18.5,82.73009307,1.066782779,1.328035705,1.578403091,40.26643207,4.535082715,California
200,6,29,3.21,"Kern County, California",598,2899.0,1078,161.3,419.5,47451,882176,24.5,47.6095473,"(45201, 48021.6]",31.1,30.5,31.7,46.5,19.7,36.6,,3.7,27.3,10.3,51.3,12.7,51.8,42.5,37.8,40.1,29.5,74.69748284,5.662349722999999,4.568367262,10.47189905,50.96534463,6.627706717000001,California
201,6,31,3.19,"Kings County, California",996,479.0,163,147.7,409.3,44490,150965,24.9,0.0,"(42724.4, 45201]",31.4,32.2,30.4,44.3,20.3,30.7,45.7,3.3,24.8,9.7,,13.0,55.9,45.5,36.6,37.6,25.7,68.40421727,6.223261235,3.709982914,15.65384972,50.93372479,6.638754179,California
202,6,33,2.34,"Lake County, California",997,416.0,176,190.6,460.1,36333,64591,24.3,0.0,"(34218.1, 37413.8]",45.5,44.4,46.8,45.4,19.5,35.1,,3.7,28.3,10.8,43.7,14.6,47.6,31.0,25.3,50.6,28.4,79.60971352,2.247576296,1.287446616,9.948876212,40.38824881,6.718511986,California
203,6,35,2.24,"Lassen County, California",998,123.0,54,169.9,365.7,49995,31345,19.4,0.0,"(48021.6, 51046.4]",37.0,34.7,44.2,43.5,32.0,34.0,,1.2,28.8,8.1,32.2,10.9,66.6,49.6,45.0,38.6,20.3,74.88129882,8.543421657,1.510185327,7.802113647,51.50922015,7.549668874,California
204,6,37,3.02,"Los Angeles County, California",999,38150.0,14010,148.4,405.5,55686,10170292,18.7,255.9415207,"(54545.6, 61494.5]",35.6,34.4,36.8,42.4,15.3,27.0,47.9,9.9,20.7,19.8,58.0,10.0,55.0,47.4,39.7,32.9,23.0,53.25871046,8.276139555,14.12938014,19.59152207,44.58164997,4.70528099,California
205,6,39,3.35,"Madera County, California",1000,611.0,212,147.5,420.3,43171,154998,22.3,109.6788346,"(42724.4, 45201]",33.5,32.2,34.5,47.6,27.9,29.8,,2.2,25.1,9.4,45.9,7.5,45.8,34.9,30.4,46.9,33.1,81.65314289,3.468309974,2.122895546,7.926912858,56.07405176,6.972732187999999,California
206,6,41,2.41,"Marin County, California",1001,1625.0,483,135.2,475.0,94549,261221,8.8,421.0993756,"(61494.5, 125635]",45.4,43.7,46.9,51.8,14.3,25.9,,13.6,11.8,31.4,61.2,5.7,78.4,,48.8,28.9,12.5,79.3182865,2.548103534,5.682623118,7.669083294,50.02315038,5.448237058999999,California
207,6,43,2.29,"Mariposa County, California",1002,116.0,43,147.6,396.8,47781,17531,16.2,0.0,"(45201, 48021.6]",50.6,50.6,50.6,58.2,25.7,28.8,,8.0,28.5,13.8,48.2,11.6,68.6,48.3,42.9,41.3,18.6,87.56534937,1.07931868,1.298555287,2.636460734,55.46630361,9.589041096,California
208,6,45,2.51,"Mendocino County, California",1003,513.0,197,167.5,452.2,42840,87649,18.8,79.86400301,"(42724.4, 45201]",42.2,40.6,44.0,45.1,17.0,35.1,,3.3,26.5,15.7,52.1,12.2,49.3,35.1,27.5,49.2,31.5,82.82920589,0.668235402,1.938453806,5.441834963,43.24014463,5.383139601,California
209,6,47,3.32,"Merced County, California",1004,877.0,343,162.9,415.9,43818,268455,24.8,29.80015273,"(42724.4, 45201]",30.4,29.6,31.0,45.8,13.8,29.0,53.5,3.6,24.8,8.7,49.8,16.2,48.0,38.4,33.2,44.4,32.3,61.17475415,3.4181556360000003,7.542679576,22.65191277,50.89713227,6.3936915160000005,California
210,6,49,2.32,"Modoc County, California",1005,57.0,24,160.8,408.6,39172,8965,20.2,111.5448968,"(37413.8, 40362.7]",47.8,47.6,48.2,52.1,36.7,37.3,,3.4,26.1,13.2,43.9,8.6,50.8,31.0,27.7,50.3,28.4,90.17857143,0.511759582,1.088850174,1.045296167,50.97463284,8.313253012,California
211,6,51,2.82,"Mono County, California",1006,45.0,13,102.1,320.8,59181,13909,11.3,0.0,"(54545.6, 61494.5]",38.5,40.2,36.1,42.2,7.7,37.1,30.2,25.0,16.8,23.1,61.1,13.4,56.7,,36.3,29.7,17.3,84.08030539,0.55139262,1.095716103,8.772797964,47.18711781,1.991310644,California
212,6,53,3.26,"Monterey County, California",1009,1601.0,551,140.8,413.6,57428,433898,17.0,73.75005186,"(54545.6, 61494.5]",33.5,32.8,34.3,46.3,20.9,27.3,46.7,5.1,20.8,14.2,54.3,8.4,55.6,,37.5,35.1,23.1,73.30694308,2.7884819610000005,6.086018845,12.75344797,51.74558619,5.921976696000001,California
213,6,55,2.74,"Napa County, California",1010,815.0,298,170.2,488.9,71063,142456,9.0,182.5124951,"(61494.5, 125635]",40.3,39.0,41.7,50.9,15.2,30.8,48.2,5.7,19.3,21.6,60.7,7.5,71.8,,48.0,30.4,14.4,74.06821341,2.09843544,7.710182116,11.55493781,53.12765184,4.941095375,California
214,6,57,2.38,"Nevada County, California",1011,628.0,227,144.9,423.9,57118,98877,11.4,182.0443581,"(54545.6, 61494.5]",49.0,47.5,50.5,53.6,13.4,28.8,,5.2,20.2,21.6,49.9,9.8,66.7,,35.1,39.1,17.3,92.36887491,0.487978087,1.435528051,1.705387035,51.86251311,4.079089924,California
215,6,59,3.04,"Orange County, California",1012,12694.0,4410,143.8,418.6,76061,3169776,12.9,145.7516241,"(61494.5, 125635]",37.1,35.8,38.4,50.1,11.5,27.0,,11.2,17.7,24.4,60.9,7.6,65.0,56.3,47.4,27.9,18.3,63.22067964,1.662864333,18.94508754,11.8168115,54.60626758,4.827807522,California
216,6,61,2.67,"Placer County, California",1013,1948.0,686,153.4,460.5,75689,375391,8.3,407.5750351,"(61494.5, 125635]",41.0,39.7,42.2,55.6,10.7,31.2,,7.4,19.4,24.5,55.8,8.3,78.2,61.9,53.6,27.6,11.3,83.64393359999998,1.415037676,6.680135416000001,2.91853227,56.72986062,4.433234709,California
217,6,63,2.26,"Plumas County, California",1014,134.0,53,167.2,420.3,47964,18409,14.0,0.0,"(45201, 48021.6]",51.3,50.3,52.0,53.0,10.0,27.4,62.6,0.0,23.9,13.3,44.7,15.2,62.3,40.6,33.5,44.5,20.7,90.1191606,0.65380154,0.938521565,1.471053464,48.99598394,4.06430088,California
218,6,65,3.24,"Riverside County, California",1015,8857.0,3377,154.6,414.5,56877,2361026,17.1,57.17853171,"(54545.6, 61494.5]",34.5,33.5,35.5,48.4,15.7,36.2,,4.7,25.8,13.4,52.4,12.9,56.3,46.8,40.1,35.0,24.2,64.61041448,6.265186908,6.185118397,17.45632785,53.80374468,5.475268467,California
219,6,67,2.76,"Sacramento County, California",1016,6346.0,2389,168.9,452.0,55803,1501335,18.1,239.1205161,"(54545.6, 61494.5]",35.5,34.2,36.8,45.0,13.9,29.5,,7.2,22.3,19.1,55.3,11.8,63.2,,45.4,35.2,21.6,59.58677393,9.957416675,15.04162824,6.8865327,44.78928273,5.384470827,California
220,6,69,3.33,"San Benito County, California",1017,216.0,75,150.4,433.0,68166,58792,14.1,102.0547013,"(61494.5, 125635]",35.0,34.2,35.7,51.0,10.5,38.1,,5.1,24.4,13.4,60.1,12.2,64.5,54.1,48.4,31.2,20.5,84.53185538,0.780096252,2.66344667,6.939208089,59.57669496,6.536926147999999,California
221,6,71,3.33,"San Bernardino County, California",1018,7241.0,2778,168.0,423.1,51951,2128133,20.4,62.02619855,"(51046.4, 54545.6]",32.5,31.4,33.6,45.4,16.0,33.6,44.5,6.0,26.2,12.3,52.3,12.6,54.4,46.6,41.2,35.7,26.1,62.15406089999999,8.549248151,6.678254261,17.03872838,51.29451023,6.0076214420000005,California
222,6,73,2.86,"San Diego County, California",1020,13294.0,4895,157.1,434.9,66034,3299521,14.7,139.1111013,"(61494.5, 125635]",35.1,33.7,36.5,47.2,10.9,32.2,,9.6,19.0,22.1,56.7,8.7,66.6,55.5,44.6,28.4,16.8,70.85169042,5.0658124980000006,11.45023294,6.707308749,49.61783364,4.953958986,California
223,6,75,2.32,"San Francisco County, California",1021,3948.0,1387,145.1,428.9,83788,864816,12.1,445.1814027,"(61494.5, 125635]",38.5,38.4,38.6,38.8,5.9,18.2,47.2,28.7,12.7,32.6,64.7,6.8,72.0,,52.1,27.8,15.0,48.727287,5.569345939,33.82950962,6.468886,33.90671041,3.673722996,California
224,6,77,3.16,"San Joaquin County, California",1022,2718.0,1065,168.9,432.1,51527,726106,20.7,60.59721308,"(51046.4, 54545.6]",33.5,32.4,34.6,47.9,18.7,30.8,,5.0,26.4,12.5,52.7,13.7,57.2,47.1,41.7,37.7,25.8,57.00214804,7.093743032000001,14.78546448,11.69212227,51.85212235,6.148432797999999,California
225,6,79,2.51,"San Luis Obispo County, California",1023,1459.0,520,149.4,443.7,61775,281401,14.5,156.36049619999997,"(61494.5, 125635]",39.3,37.1,41.5,48.2,6.3,20.1,66.4,7.2,19.7,20.8,54.0,6.6,71.9,55.9,45.6,30.3,13.9,85.00670845,2.054846537,3.662342641,5.069127757,50.36688036,4.076692166,California
226,6,81,2.85,"San Mateo County, California",1024,3648.0,1186,140.0,447.0,100806,765135,7.5,218.2621367,"(61494.5, 125635]",39.5,38.2,40.8,51.9,11.7,25.5,,16.2,16.5,27.1,64.1,6.7,76.0,63.8,55.7,25.8,13.2,54.97635332,2.596259538,26.55813637,9.447451755,53.65425415,5.015576324,California
227,6,83,2.92,"Santa Barbara County, California",1025,1912.0,664,142.3,433.0,62116,444769,17.4,229.33252990000005,"(61494.5, 125635]",33.6,32.4,35.0,44.9,11.1,19.2,,9.5,17.7,19.2,58.4,8.0,63.2,49.6,39.7,31.9,19.2,74.28381324,2.002294367,5.163014799,13.26786739,48.7159544,4.603274095,California
228,6,85,2.95,"Santa Clara County, California",1026,7334.0,2355,135.0,420.0,97219,1918044,8.5,410.3138406000001,"(61494.5, 125635]",36.8,35.9,37.8,53.2,10.6,25.8,,16.8,15.2,26.1,61.9,7.7,74.1,,57.3,24.8,14.2,48.30471231,2.585982167,33.76090451,9.834279814,56.30311056,5.541784514,California
229,6,87,2.72,"Santa Cruz County, California",1027,1225.0,396,145.4,450.4,64257,274146,16.1,83.89690165,"(61494.5, 125635]",37.0,35.9,38.3,44.9,8.5,21.9,,8.7,15.5,23.2,59.4,7.6,68.3,56.0,45.6,29.9,17.8,80.54538432,0.941406279,4.403256115,8.990337124,47.95784899,4.539151472,California
230,6,89,2.54,"Shasta County, California",1028,1108.0,465,192.0,478.8,43661,179533,14.7,5.570006628,"(42724.4, 45201]",42.2,40.2,43.9,49.1,12.0,27.5,,6.3,25.8,12.8,47.9,10.3,56.4,40.4,33.2,44.8,25.5,86.76051458,0.999206447,2.646108795,2.281744923,48.00288288,3.958736974,California
231,6,91,2.38,"Sierra County, California",1029,16.0,9,158.0,312.8,47293,2967,13.8,0.0,"(45201, 48021.6]",54.5,54.4,55.1,52.4,40.7,39.8,,0.0,34.5,14.8,42.4,8.0,58.8,36.3,31.2,49.0,25.5,96.42502483,0.0993048659999999,0.033101622,0.3972194639999999,51.91693291,2.073732719,California
232,6,93,2.26,"Siskiyou County, California",1031,290.0,133,192.6,430.4,38641,43554,21.1,160.7200257,"(37413.8, 40362.7]",47.8,45.9,49.0,52.1,13.9,35.9,,6.0,24.9,15.5,44.8,12.7,53.4,34.6,28.7,50.9,28.7,85.94828568,1.41473972,1.57648935,1.496753617,47.95902368,4.740349554,California
233,6,95,2.89,"Solano County, California",1032,2017.0,744,176.7,472.3,67106,436092,12.3,392.1190941,"(61494.5, 125635]",37.3,35.9,38.7,46.8,14.7,32.5,,6.5,23.8,17.6,55.3,11.4,69.2,,47.6,32.4,18.1,53.81430078,13.90759431,15.06037538,8.719844605,50.104448100000006,5.163792425,California
234,6,97,2.59,"Sonoma County, California",1033,2647.0,962,163.1,463.4,66949,502146,11.3,213.0854373,"(61494.5, 125635]",40.8,39.2,42.6,47.2,13.2,28.0,,6.4,19.9,21.4,59.5,8.1,69.2,,45.1,32.1,16.7,77.25732107,1.561572116,3.890498063,10.93019686,46.97095568,5.065070552,California
235,6,99,3.08,"Stanislaus County, California",1034,2075.0,793,164.9,433.4,50917,538388,18.1,105.8716019,"(48021.6, 51046.4]",33.5,32.3,34.8,47.9,12.2,37.0,46.7,4.0,28.3,11.0,52.3,15.2,54.7,44.9,39.7,39.8,27.7,75.29481367,2.718220897,5.415583455,10.658990800000002,51.06740112,6.025884863,California
236,6,101,2.95,"Sutter County, California",1035,386.0,155,155.1,395.8,51827,96463,15.2,0.0,"(51046.4, 54545.6]",35.4,34.1,36.4,53.0,18.9,31.9,,4.5,24.8,12.1,51.6,13.2,54.5,,35.0,41.4,26.9,69.56439573,2.151248858,14.74482136,6.138776023999999,53.34461259,6.71564894,California
237,6,103,2.63,"Tehama County, California",1036,372.0,139,174.0,473.2,40782,63308,18.2,0.0,"(40362.7, 42724.4]",40.5,39.3,42.0,51.4,14.8,45.1,,1.8,30.5,9.6,46.6,13.2,53.1,37.9,32.5,47.8,28.0,86.44381809,0.508297441,1.28103623,4.609513555,50.75092811,4.096971483,California
238,6,105,2.38,"Trinity County, California",1037,98.0,41,189.4,455.5,34961,13069,19.9,0.0,"(34218.1, 37413.8]",50.3,50.1,50.5,53.8,23.7,50.1,,10.6,31.0,15.0,42.2,9.0,44.8,,24.7,49.5,30.2,85.32116952,1.129140806,1.50302849,3.5594107530000003,48.08533917,1.470588235,California
